Dialogue_History,Strategy_History,Speaker_Turn,Gold_Standard,Next_Strategy
"Yeah. And it'd be nice to just know what I'm doing and just have my routine. </s> Right. So every day you know where you're going. </s> Yeah. </s> Okay. And you know, what's- what's happening for the- for the day, for the week. </s> Right. Well, it would be good if I knew, you know, that my kids are taken care of too-","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"Yeah. </s> Okay. And you know, what's- what's happening for the- for the day, for the week. </s> Right. Well, it would be good if I knew, you know, that my kids are taken care of too- </s> Yeah. </s> - so I'm not worried about them while I'm at work.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,Right. Yeah. Because you're- you're the kind of parent that wants to make sure your kids are doing well.,1
"Right. Well, it would be good if I knew, you know, that my kids are taken care of too- </s> Yeah. </s> - so I'm not worried about them while I'm at work. </s> Right. Yeah. Because you're- you're the kind of parent that wants to make sure your kids are doing well. </s> Right.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,"Yeah. Um, so tell me, what would it take to get you to like a five in confidence, to feel a little bit more confident about getting work?",3
"- so I'm not worried about them while I'm at work. </s> Right. Yeah. Because you're- you're the kind of parent that wants to make sure your kids are doing well. </s> Right. </s> Yeah. Um, so tell me, what would it take to get you to like a five in confidence, to feel a little bit more confident about getting work? </s> Well, I mean, being able to make the interviews would be the priority.","[-1, 1, -1, 3, -1]",seeker supporter seeker supporter seeker,"Okay, Yeah.",5
"Right. </s> Yeah. Um, so tell me, what would it take to get you to like a five in confidence, to feel a little bit more confident about getting work? </s> Well, I mean, being able to make the interviews would be the priority. </s> Okay, Yeah. </s> Um, so chi- you know, taking care, having some childcare, having-","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Well, I mean, being able to make the interviews would be the priority. </s> Okay, Yeah. </s> Um, so chi- you know, taking care, having some childcare, having- </s> Mm-hmm. </s> - having someone I trust that I can call when I know I've got an interview.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah. Because you definitely need to go to an interview in order to get the job.,0
"Um, so chi- you know, taking care, having some childcare, having- </s> Mm-hmm. </s> - having someone I trust that I can call when I know I've got an interview. </s> Yeah. Because you definitely need to go to an interview in order to get the job. </s> Right. Yeah.","[-1, 5, -1, 0, -1]",seeker supporter seeker supporter seeker,"So having taken care of that part, having some reliable childcare would definitely help.",0
"- having someone I trust that I can call when I know I've got an interview. </s> Yeah. Because you definitely need to go to an interview in order to get the job. </s> Right. Yeah. </s> So having taken care of that part, having some reliable childcare would definitely help. </s> Yeah.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,What else would get you to a five?,3
"Right. Yeah. </s> So having taken care of that part, having some reliable childcare would definitely help. </s> Yeah. </s> What else would get you to a five? </s> Um, I just wish that I had- I had more experience or, um, you know, more education. It seems like everyone's got a college education and I don't have that on my resume.","[-1, 0, -1, 3, -1]",seeker supporter seeker supporter seeker,Okay.,5
"Yeah. </s> What else would get you to a five? </s> Um, I just wish that I had- I had more experience or, um, you know, more education. It seems like everyone's got a college education and I don't have that on my resume. </s> Okay. </s> I get asked about education and training and –","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,"Mm-hmm, mm-hmm.",5
"Um, I just wish that I had- I had more experience or, um, you know, more education. It seems like everyone's got a college education and I don't have that on my resume. </s> Okay. </s> I get asked about education and training and – </s> Mm-hmm, mm-hmm. </s> - um, you know, I just, it, as soon as I asked about it, I just feel just like I'm not good enough-","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Okay.,5
"I get asked about education and training and – </s> Mm-hmm, mm-hmm. </s> - um, you know, I just, it, as soon as I asked about it, I just feel just like I'm not good enough- </s> Okay. </s> - since I don't have that.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"Yeah, so if you had something on your resume that was around education training, maybe a certificate of some kind of a field that you're interested in, that you would feel proud of yourself.",1
"- um, you know, I just, it, as soon as I asked about it, I just feel just like I'm not good enough- </s> Okay. </s> - since I don't have that. </s> Yeah, so if you had something on your resume that was around education training, maybe a certificate of some kind of a field that you're interested in, that you would feel proud of yourself. </s> Yeah. Well, something I could talk about in the interview too. You know, even if I was some type of certification where I could say, I could, you know, with confidence talk about- about that.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,"Mm-hmm. Okay. What-- do you have any ideas as to what fields you might be interested in getting some more education, more training?",6
"- since I don't have that. </s> Yeah, so if you had something on your resume that was around education training, maybe a certificate of some kind of a field that you're interested in, that you would feel proud of yourself. </s> Yeah. Well, something I could talk about in the interview too. You know, even if I was some type of certification where I could say, I could, you know, with confidence talk about- about that. </s> Mm-hmm. Okay. What-- do you have any ideas as to what fields you might be interested in getting some more education, more training? </s> I mean, I guess, I just don't really know what it's gonna be because I need to have a job now so I'm not really sure.","[-1, 1, -1, 6, -1]",seeker supporter seeker supporter seeker,Like what's going to be fastest.,0
"Yeah. Well, something I could talk about in the interview too. You know, even if I was some type of certification where I could say, I could, you know, with confidence talk about- about that. </s> Mm-hmm. Okay. What-- do you have any ideas as to what fields you might be interested in getting some more education, more training? </s> I mean, I guess, I just don't really know what it's gonna be because I need to have a job now so I'm not really sure. </s> Like what's going to be fastest. </s> Right. I almost feel like that's more important than what I'm interested in, you know, because I'm like, I'm not going to go back to school for four years right now.","[-1, 6, -1, 0, -1]",seeker supporter seeker supporter seeker,"Okay, and so if- if you were, it sounds like if you were going to do something you'd wanna to do something really quickly like a short- a short certificate.",1
"I mean, I guess, I just don't really know what it's gonna be because I need to have a job now so I'm not really sure. </s> Like what's going to be fastest. </s> Right. I almost feel like that's more important than what I'm interested in, you know, because I'm like, I'm not going to go back to school for four years right now. </s> Okay, and so if- if you were, it sounds like if you were going to do something you'd wanna to do something really quickly like a short- a short certificate. </s> Yeah or something-- yeah, something that I could get immediate skills that would, you know, get me into some kind of a job now, even if it's not my long-term goal or, you know, career just- just get me into something and then I can always focus on.","[-1, 0, -1, 1, -1]",seeker supporter seeker supporter seeker,"Yeah, sort of like a short-term or transition into something else.",6
"Right. I almost feel like that's more important than what I'm interested in, you know, because I'm like, I'm not going to go back to school for four years right now. </s> Okay, and so if- if you were, it sounds like if you were going to do something you'd wanna to do something really quickly like a short- a short certificate. </s> Yeah or something-- yeah, something that I could get immediate skills that would, you know, get me into some kind of a job now, even if it's not my long-term goal or, you know, career just- just get me into something and then I can always focus on. </s> Yeah, sort of like a short-term or transition into something else. </s> Yeah. Great. Exactly.","[-1, 1, -1, 6, -1]",seeker supporter seeker supporter seeker,But that would be steady and pays well?,6
"Yeah or something-- yeah, something that I could get immediate skills that would, you know, get me into some kind of a job now, even if it's not my long-term goal or, you know, career just- just get me into something and then I can always focus on. </s> Yeah, sort of like a short-term or transition into something else. </s> Yeah. Great. Exactly. </s> But that would be steady and pays well? </s> Mm-hmm.","[-1, 6, -1, 6, -1]",seeker supporter seeker supporter seeker,"Okay, and allow you to afford everything you need to afford.",6
"Yeah. Great. Exactly. </s> But that would be steady and pays well? </s> Mm-hmm. </s> Okay, and allow you to afford everything you need to afford. </s> Yeah, because even those jobs right now don't feel accessible for me. They seem like, you know-- seems like if-- maybe if I were better on the computer or you know.","[-1, 6, -1, 6, -1]",seeker supporter seeker supporter seeker,"Okay, so specifically getting some computer skills will help?",6
"Mm-hmm. </s> Okay, and allow you to afford everything you need to afford. </s> Yeah, because even those jobs right now don't feel accessible for me. They seem like, you know-- seems like if-- maybe if I were better on the computer or you know. </s> Okay, so specifically getting some computer skills will help? </s> Yeah. I think so- I think so because I don't-- I can't-- I don't really have anything on my resume that talks about—","[-1, 6, -1, 6, -1]",seeker supporter seeker supporter seeker,The technology.,1
"Yeah, because even those jobs right now don't feel accessible for me. They seem like, you know-- seems like if-- maybe if I were better on the computer or you know. </s> Okay, so specifically getting some computer skills will help? </s> Yeah. I think so- I think so because I don't-- I can't-- I don't really have anything on my resume that talks about— </s> The technology. </s> Yeah.","[-1, 6, -1, 1, -1]",seeker supporter seeker supporter seeker,"Mm-hmm. Okay. So whatever and so far it sounds like getting a job is really important right now and you really need the money and you really need to take care of your children and it sounds like you have some ideas as to how you could get to these interviews for one, and then once you're there at the interview, feeling more confident about your skills, um, getting some child-- reliable child care certainly sounds very important.",6
"Yeah. I think so- I think so because I don't-- I can't-- I don't really have anything on my resume that talks about— </s> The technology. </s> Yeah. </s> Mm-hmm. Okay. So whatever and so far it sounds like getting a job is really important right now and you really need the money and you really need to take care of your children and it sounds like you have some ideas as to how you could get to these interviews for one, and then once you're there at the interview, feeling more confident about your skills, um, getting some child-- reliable child care certainly sounds very important. </s> Yeah.","[-1, 1, -1, 6, -1]",seeker supporter seeker supporter seeker,"Um, as well as maybe doing some sort of certificate or getting some classes and training in computers?",6
"Yeah. </s> Mm-hmm. Okay. So whatever and so far it sounds like getting a job is really important right now and you really need the money and you really need to take care of your children and it sounds like you have some ideas as to how you could get to these interviews for one, and then once you're there at the interview, feeling more confident about your skills, um, getting some child-- reliable child care certainly sounds very important. </s> Yeah. </s> Um, as well as maybe doing some sort of certificate or getting some classes and training in computers? </s> Yeah, that would be great.","[-1, 6, -1, 6, -1]",seeker supporter seeker supporter seeker,Okay.,5
"Yeah. </s> Um, as well as maybe doing some sort of certificate or getting some classes and training in computers? </s> Yeah, that would be great. </s> Okay. </s> That would be great.","[-1, 6, -1, 5, -1]",seeker supporter seeker supporter seeker,"So what would you like to do next, you think?",6
"Yeah, that would be great. </s> Okay. </s> That would be great. </s> So what would you like to do next, you think? </s> Well, find the childcare resources-","[-1, 5, -1, 6, -1]",seeker supporter seeker supporter seeker,"Okay, okay.",5
"That would be great. </s> So what would you like to do next, you think? </s> Well, find the childcare resources- </s> Okay, okay. </s> - is- seems to be- that seems to be the—","[-1, 6, -1, 5, -1]",seeker supporter seeker supporter seeker,That's a priority.,1
"Well, find the childcare resources- </s> Okay, okay. </s> - is- seems to be- that seems to be the— </s> That's a priority. </s> The priority 'cause I can't even do an interview without that.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"- is- seems to be- that seems to be the— </s> That's a priority. </s> The priority 'cause I can't even do an interview without that. </s> Yeah. </s> And then, um, I mean-- I guess getting into some type of- some type of a training program that's, you know, short-","[-1, 1, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
<START>,[-1],None,". So, um, tell me about the exercise.",3
"<START> </s> . So, um, tell me about the exercise. </s> Well, um, since we spoke last, I've been to the gym a couple of times.","[-1, 3, -1]",None supporter seeker,You have?,2
"<START> </s> . So, um, tell me about the exercise. </s> Well, um, since we spoke last, I've been to the gym a couple of times. </s> You have? </s> I have.","[-1, 3, -1, 2, -1]",None supporter seeker supporter seeker,That's fantastic.,5
"Well, um, since we spoke last, I've been to the gym a couple of times. </s> You have? </s> I have. </s> That's fantastic. </s> Yeah, and actually, my pants feel a little better too. I'm very pleased with it.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,"So, what else have you noticed other than your-your pants are fitting better?",3
"I have. </s> That's fantastic. </s> Yeah, and actually, my pants feel a little better too. I'm very pleased with it. </s> So, what else have you noticed other than your-your pants are fitting better? </s> Um, I do feel better.","[-1, 5, -1, 3, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Yeah, and actually, my pants feel a little better too. I'm very pleased with it. </s> So, what else have you noticed other than your-your pants are fitting better? </s> Um, I do feel better. </s> Mm-hmm. </s> My back—","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Your-- my what?,2
"Um, I do feel better. </s> Mm-hmm. </s> My back— </s> Your-- my what? </s> Well, my back doesn't hurt nearly so much.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,Wow.,5
"My back— </s> Your-- my what? </s> Well, my back doesn't hurt nearly so much. </s> Wow. </s> And, um, but it seems like it's, um-- but it's still hard. I'd like to go more often or I-I guess that I'm-- I just need to be a little more patient with myself because it's, um, I'm not, uh, I'm not-- I wanna be able to like spend more time at the gym but right now, it's um, not, um-- Well, I guess I need to build up to it.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm. So and what would you-- What would- What would help you get to building up to it? Spending more time there.,3
"Well, my back doesn't hurt nearly so much. </s> Wow. </s> And, um, but it seems like it's, um-- but it's still hard. I'd like to go more often or I-I guess that I'm-- I just need to be a little more patient with myself because it's, um, I'm not, uh, I'm not-- I wanna be able to like spend more time at the gym but right now, it's um, not, um-- Well, I guess I need to build up to it. </s> Mm-hmm. So and what would you-- What would- What would help you get to building up to it? Spending more time there. </s> Um, well, I guess just sticking with it and not getting, um, sidetracked.","[-1, 5, -1, 3, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"And, um, but it seems like it's, um-- but it's still hard. I'd like to go more often or I-I guess that I'm-- I just need to be a little more patient with myself because it's, um, I'm not, uh, I'm not-- I wanna be able to like spend more time at the gym but right now, it's um, not, um-- Well, I guess I need to build up to it. </s> Mm-hmm. So and what would you-- What would- What would help you get to building up to it? Spending more time there. </s> Um, well, I guess just sticking with it and not getting, um, sidetracked. </s> Mm-hmm. </s> Like last week, I-I didn't get there at all until like Thursday during the week,-","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Um, well, I guess just sticking with it and not getting, um, sidetracked. </s> Mm-hmm. </s> Like last week, I-I didn't get there at all until like Thursday during the week,- </s> Mm-hmm. </s> -so it was- it was a frustrating week like for the gym that way.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Like last week, I-I didn't get there at all until like Thursday during the week,- </s> Mm-hmm. </s> -so it was- it was a frustrating week like for the gym that way. </s> Mm-hmm. </s> I was kinda busy with some other things, but, um—","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Mm-hmm. But you made it-- You made it one day-,0
"-so it was- it was a frustrating week like for the gym that way. </s> Mm-hmm. </s> I was kinda busy with some other things, but, um— </s> Mm-hmm. But you made it-- You made it one day- </s> I-I got—","[-1, 5, -1, 0, -1]",seeker supporter seeker supporter seeker,-instead of zero days.,0
"I was kinda busy with some other things, but, um— </s> Mm-hmm. But you made it-- You made it one day- </s> I-I got— </s> -instead of zero days. </s> Yeah, and actually, I made it again on Saturday too. So.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,That's fantastic.,5
"I-I got— </s> -instead of zero days. </s> Yeah, and actually, I made it again on Saturday too. So. </s> That's fantastic. </s> Yeah.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,"Even with this, you know, pretty horrendous schedule going on.",1
"Yeah, and actually, I made it again on Saturday too. So. </s> That's fantastic. </s> Yeah. </s> Even with this, you know, pretty horrendous schedule going on. </s> Yeah. It's been a little-little hectic, you know. And, uh-- But, I-I don't like it too much because there's all these younger guys that can lift a lot more weight than me or they can stay on the treadmill longer and it-it-it's a little discouraging, you know. 'Cause I don't know if you've noticed, I'm not buff and they are. And it's-it's a little discouraging to think how much work it's gonna take to get, you know, kinda back towards that.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,So you-you'd like to get buffed?,2
"Yeah. </s> Even with this, you know, pretty horrendous schedule going on. </s> Yeah. It's been a little-little hectic, you know. And, uh-- But, I-I don't like it too much because there's all these younger guys that can lift a lot more weight than me or they can stay on the treadmill longer and it-it-it's a little discouraging, you know. 'Cause I don't know if you've noticed, I'm not buff and they are. And it's-it's a little discouraging to think how much work it's gonna take to get, you know, kinda back towards that. </s> So you-you'd like to get buffed? </s> No, but, um, when-when I'm not at the gym, and I am my normal rational self, I realize that I'm, you know, way, way past the age of where I would really even want to do that, let alone want to spend the time it takes. But then while I'm at the gym, and I see the buff young guys, you know, lifting a lot of weight and all that stuff, then you know, the-- I don't know, the urge to be buff comes up in me.","[-1, 1, -1, 2, -1]",seeker supporter seeker supporter seeker,"So, but for right now, it sounds like the-- just having the pants fit better-",0
"Yeah. It's been a little-little hectic, you know. And, uh-- But, I-I don't like it too much because there's all these younger guys that can lift a lot more weight than me or they can stay on the treadmill longer and it-it-it's a little discouraging, you know. 'Cause I don't know if you've noticed, I'm not buff and they are. And it's-it's a little discouraging to think how much work it's gonna take to get, you know, kinda back towards that. </s> So you-you'd like to get buffed? </s> No, but, um, when-when I'm not at the gym, and I am my normal rational self, I realize that I'm, you know, way, way past the age of where I would really even want to do that, let alone want to spend the time it takes. But then while I'm at the gym, and I see the buff young guys, you know, lifting a lot of weight and all that stuff, then you know, the-- I don't know, the urge to be buff comes up in me. </s> So, but for right now, it sounds like the-- just having the pants fit better- </s> Yeah.","[-1, 2, -1, 0, -1]",seeker supporter seeker supporter seeker,"-sounds really, you know, like it's making you feel good about yourself and—",1
"No, but, um, when-when I'm not at the gym, and I am my normal rational self, I realize that I'm, you know, way, way past the age of where I would really even want to do that, let alone want to spend the time it takes. But then while I'm at the gym, and I see the buff young guys, you know, lifting a lot of weight and all that stuff, then you know, the-- I don't know, the urge to be buff comes up in me. </s> So, but for right now, it sounds like the-- just having the pants fit better- </s> Yeah. </s> -sounds really, you know, like it's making you feel good about yourself and— </s> It is.","[-1, 0, -1, 1, -1]",seeker supporter seeker supporter seeker,What other positive things have you noticed about the exercise?,3
"Yeah. </s> -sounds really, you know, like it's making you feel good about yourself and— </s> It is. </s> What other positive things have you noticed about the exercise? </s> Well, I noticed-- Well, I-I still need to work on my diet a lot. I haven't-- I-I'd like to say that by working out at the gym, I have, uh, I've -I've modified my diet, but I haven't very much. I've gotten a little bit better with that, but I'd like to do a lot more.","[-1, 1, -1, 3, -1]",seeker supporter seeker supporter seeker,In what way have you gotten a little bit better?,3
"It is. </s> What other positive things have you noticed about the exercise? </s> Well, I noticed-- Well, I-I still need to work on my diet a lot. I haven't-- I-I'd like to say that by working out at the gym, I have, uh, I've -I've modified my diet, but I haven't very much. I've gotten a little bit better with that, but I'd like to do a lot more. </s> In what way have you gotten a little bit better? </s> Um, a little bit less junk food. Um, like at times, when I'm like I feel like, ""Oh, I think I'll just go have a candy bar,"" or some worthless thing like that I'll actually have second thoughts before I do it.","[-1, 3, -1, 3, -1]",seeker supporter seeker supporter seeker,"So you're at the second thought part. And what do you think would-- might take you, uh, over to actually doing it if you wanted to?",3
"Well, I noticed-- Well, I-I still need to work on my diet a lot. I haven't-- I-I'd like to say that by working out at the gym, I have, uh, I've -I've modified my diet, but I haven't very much. I've gotten a little bit better with that, but I'd like to do a lot more. </s> In what way have you gotten a little bit better? </s> Um, a little bit less junk food. Um, like at times, when I'm like I feel like, ""Oh, I think I'll just go have a candy bar,"" or some worthless thing like that I'll actually have second thoughts before I do it. </s> So you're at the second thought part. And what do you think would-- might take you, uh, over to actually doing it if you wanted to? </s> Well, I think, uh, when I really start seeing some results at the gym, it's kinda, uh, I think the way it works in my mind is if I've worked out really hard and I've- and I've-- say I've lost a pound that week-","[-1, 3, -1, 3, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Um, a little bit less junk food. Um, like at times, when I'm like I feel like, ""Oh, I think I'll just go have a candy bar,"" or some worthless thing like that I'll actually have second thoughts before I do it. </s> So you're at the second thought part. And what do you think would-- might take you, uh, over to actually doing it if you wanted to? </s> Well, I think, uh, when I really start seeing some results at the gym, it's kinda, uh, I think the way it works in my mind is if I've worked out really hard and I've- and I've-- say I've lost a pound that week- </s> Mm-hmm. </s> -you know, and then as I'm looking at that double or triple fudge four-decker of ice cream Sunday thing, you know, that somebody is eating, I would say, ""Wow, that would be about two hours on the treadmill."" Then-then that would be probably-- the-- that would keep me from actually ordering one of those.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,"Oh, okay. The payoff just wouldn't be worth that two hours of treadmill versus that double fudgy browny thingy.",1
"Well, I think, uh, when I really start seeing some results at the gym, it's kinda, uh, I think the way it works in my mind is if I've worked out really hard and I've- and I've-- say I've lost a pound that week- </s> Mm-hmm. </s> -you know, and then as I'm looking at that double or triple fudge four-decker of ice cream Sunday thing, you know, that somebody is eating, I would say, ""Wow, that would be about two hours on the treadmill."" Then-then that would be probably-- the-- that would keep me from actually ordering one of those. </s> Oh, okay. The payoff just wouldn't be worth that two hours of treadmill versus that double fudgy browny thingy. </s> Right, decadent-- Why do they put the word decadent in food?","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,"'Cause it is decadent, it's lovely.",4
"-you know, and then as I'm looking at that double or triple fudge four-decker of ice cream Sunday thing, you know, that somebody is eating, I would say, ""Wow, that would be about two hours on the treadmill."" Then-then that would be probably-- the-- that would keep me from actually ordering one of those. </s> Oh, okay. The payoff just wouldn't be worth that two hours of treadmill versus that double fudgy browny thingy. </s> Right, decadent-- Why do they put the word decadent in food? </s> 'Cause it is decadent, it's lovely. </s> Okay.","[-1, 1, -1, 4, -1]",seeker supporter seeker supporter seeker,"Yeah, yummy, so-",4
<START>,[-1],None,So I know we've determined that you sprained your ankle yesterday and I'm wondering if you can tell me a little bit about how that happened?,3
"<START> </s> So I know we've determined that you sprained your ankle yesterday and I'm wondering if you can tell me a little bit about how that happened? </s> Um, it's really stupid. Uh, I was at a pub crawl last night and you know how pub crawls are. You have a few drinks and then I thought it was a really good idea to catch up with my friends who are, yeah, they're in front of me. So I just like jumped off the stairs of the bus and I was wearing these like stilettos 'cause it was a 90s-themed pub crawl. Anyway, and then I just like fell on my ankle. It was really embarrassing.","[-1, 3, -1]",None supporter seeker,Sounds like a wild night.,1
"<START> </s> So I know we've determined that you sprained your ankle yesterday and I'm wondering if you can tell me a little bit about how that happened? </s> Um, it's really stupid. Uh, I was at a pub crawl last night and you know how pub crawls are. You have a few drinks and then I thought it was a really good idea to catch up with my friends who are, yeah, they're in front of me. So I just like jumped off the stairs of the bus and I was wearing these like stilettos 'cause it was a 90s-themed pub crawl. Anyway, and then I just like fell on my ankle. It was really embarrassing. </s> Sounds like a wild night. </s> Yeah.","[-1, 3, -1, 1, -1]",None supporter seeker supporter seeker,Yeah.,5
"Um, it's really stupid. Uh, I was at a pub crawl last night and you know how pub crawls are. You have a few drinks and then I thought it was a really good idea to catch up with my friends who are, yeah, they're in front of me. So I just like jumped off the stairs of the bus and I was wearing these like stilettos 'cause it was a 90s-themed pub crawl. Anyway, and then I just like fell on my ankle. It was really embarrassing. </s> Sounds like a wild night. </s> Yeah. </s> Yeah. </s> It was a lot of fun but I didn't do any dancing after that.","[-1, 1, -1, 5, -1]",seeker supporter seeker supporter seeker,"No, I guess that that would be the end of your, uh, shaking and moving. I know-- I wonder if you'd be open to exploring your alcohol use and what that looks like during the week.",0
"Yeah. </s> Yeah. </s> It was a lot of fun but I didn't do any dancing after that. </s> No, I guess that that would be the end of your, uh, shaking and moving. I know-- I wonder if you'd be open to exploring your alcohol use and what that looks like during the week. </s> Uh, sure, uh, as long as we don't talk too much about like vodka 'cause I'm still, ugh, a little—","[-1, 5, -1, 0, -1]",seeker supporter seeker supporter seeker,You're still feeling the effects of-,0
"It was a lot of fun but I didn't do any dancing after that. </s> No, I guess that that would be the end of your, uh, shaking and moving. I know-- I wonder if you'd be open to exploring your alcohol use and what that looks like during the week. </s> Uh, sure, uh, as long as we don't talk too much about like vodka 'cause I'm still, ugh, a little— </s> You're still feeling the effects of- </s> Yeah.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"-last night, are you?",2
"Uh, sure, uh, as long as we don't talk too much about like vodka 'cause I'm still, ugh, a little— </s> You're still feeling the effects of- </s> Yeah. </s> -last night, are you? </s> A little bit.","[-1, 0, -1, 2, -1]",seeker supporter seeker supporter seeker,"Oh wow, it was-",5
"Yeah. </s> -last night, are you? </s> A little bit. </s> Oh wow, it was- </s> Yeah.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,-really a rough night.,1
"A little bit. </s> Oh wow, it was- </s> Yeah. </s> -really a rough night. </s> Well, it's normal.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,So what is a typical week for you as far as your alcohol use?,3
"Yeah. </s> -really a rough night. </s> Well, it's normal. </s> So what is a typical week for you as far as your alcohol use? </s> Um, well, me and my friends kinda, uh, we party on the weekend and, you know, we're all university students and so it's just normal, um, to have a few drinks.","[-1, 1, -1, 3, -1]",seeker supporter seeker supporter seeker,So a few drinks is nothing new to you?,2
"Well, it's normal. </s> So what is a typical week for you as far as your alcohol use? </s> Um, well, me and my friends kinda, uh, we party on the weekend and, you know, we're all university students and so it's just normal, um, to have a few drinks. </s> So a few drinks is nothing new to you? </s> No.","[-1, 3, -1, 2, -1]",seeker supporter seeker supporter seeker,And what does a few drinks look like? Is that per night? Is it two drinks?,2
"Um, well, me and my friends kinda, uh, we party on the weekend and, you know, we're all university students and so it's just normal, um, to have a few drinks. </s> So a few drinks is nothing new to you? </s> No. </s> And what does a few drinks look like? Is that per night? Is it two drinks? </s> Um, per night, uh, like if we go out oh, it's a lot. It's like I can drink probably like seven or eight drinks like if I'm going hard. Um, and then, you know, like maybe when I get home from school, a long day at the library, have a beer or two, so.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,All right. Do you have any concerns at all about your alcohol use?,2
"No. </s> And what does a few drinks look like? Is that per night? Is it two drinks? </s> Um, per night, uh, like if we go out oh, it's a lot. It's like I can drink probably like seven or eight drinks like if I'm going hard. Um, and then, you know, like maybe when I get home from school, a long day at the library, have a beer or two, so. </s> All right. Do you have any concerns at all about your alcohol use? </s> No. I-I don't know. It's normal for university students I feel.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,"Okay, so at this point, you're not too concerned and you think that, you know, this is what the other students are doing?",0
"Um, per night, uh, like if we go out oh, it's a lot. It's like I can drink probably like seven or eight drinks like if I'm going hard. Um, and then, you know, like maybe when I get home from school, a long day at the library, have a beer or two, so. </s> All right. Do you have any concerns at all about your alcohol use? </s> No. I-I don't know. It's normal for university students I feel. </s> Okay, so at this point, you're not too concerned and you think that, you know, this is what the other students are doing? </s> Yeah.","[-1, 2, -1, 0, -1]",seeker supporter seeker supporter seeker,Would you be open to kind of looking at the low-risk drinking alcohol guidelines?,2
"No. I-I don't know. It's normal for university students I feel. </s> Okay, so at this point, you're not too concerned and you think that, you know, this is what the other students are doing? </s> Yeah. </s> Would you be open to kind of looking at the low-risk drinking alcohol guidelines? </s> Yeah, sure.","[-1, 0, -1, 2, -1]",seeker supporter seeker supporter seeker,I don't know how you're feeling right now but I'm just wondering if we can take a-just a quick glance at this-,2
"Yeah. </s> Would you be open to kind of looking at the low-risk drinking alcohol guidelines? </s> Yeah, sure. </s> I don't know how you're feeling right now but I'm just wondering if we can take a-just a quick glance at this- </s> Yeah.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,"-and what the safe limits are for women is 10 drinks for women a week with about two drinks, uh, per day.",4
"Yeah, sure. </s> I don't know how you're feeling right now but I'm just wondering if we can take a-just a quick glance at this- </s> Yeah. </s> -and what the safe limits are for women is 10 drinks for women a week with about two drinks, uh, per day. </s> Oh really?","[-1, 2, -1, 4, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"Yeah. </s> -and what the safe limits are for women is 10 drinks for women a week with about two drinks, uh, per day. </s> Oh really? </s> Yeah. </s> Wow.","[-1, 4, -1, 5, -1]",seeker supporter seeker supporter seeker,Where do you- where do you feel you fall into that?,3
"Oh really? </s> Yeah. </s> Wow. </s> Where do you- where do you feel you fall into that? </s> Uh, uh I would say a little over that.","[-1, 5, -1, 3, -1]",seeker supporter seeker supporter seeker,"Okay, okay.",5
"Wow. </s> Where do you- where do you feel you fall into that? </s> Uh, uh I would say a little over that. </s> Okay, okay. </s> Especially with midterms coming up.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,"Okay, so it's kind of a way to cope through stress?",1
